id_fichero,tipo,text1,text2
10561201,Support,El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.,"Una combinación de mitoxantrona más prednisona es preferible a la prednisona sola para reducir el dolor en hombres con cáncer de próstata metastásico, resistente a hormonas."
10561201,Support,"A las 6 semanas, ambos grupos mostraron mejoría en varios dominios HQL,",El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.
10561201,Support,sólo el funcionamiento físico y el dolor fueron mejores en el grupo de mitoxantrona más prednisona que en el grupo de prednisona sola.,El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.
10561201,Support,"la mejora (> 10 unidades en una escala de 0 a 100) duró más tiempo que en el grupo de prednisona sola (.004 < P < 0,05).",El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.
10561201,Support,"Después de 6 semanas, los pacientes que tomaron prednisona no mostraron mejoría en las puntuaciones de HQL, mientras que los que tomaron mitoxantrona más prednisona mostraron mejorías significativas en la calidad de vida global (P = 0,009), cuatro dominios funcionales y nueve síntomas (.001 < P < 01),",El tratamiento con mitoxantrona más prednisona se asoció con una mejoría mayor y más duradera en varios dominios y síntomas del HQL que el tratamiento con prednisona sola.
10561201,Support,"La adición de mitoxantrona a la prednisona después del fracaso de la prednisona sola se asoció con mejoras en el dolor, impacto del dolor, alivio del dolor, insomnio y calidad de vida global (.001 < P <.003).","Una combinación de mitoxantrona más prednisona es preferible a la prednisona sola para reducir el dolor en hombres con cáncer de próstata metastásico, resistente a hormonas."
10561203,Partial-Attack,"Aunque los grupos CR/PR y SD(6m) tuvieron tiempos similares al fracaso del tratamiento,","Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea."
10561203,Support,Los respondedores indicaron un mejor bienestar físico (P =. 004) y estado de ánimo (P =.02) en el mes 3.,"Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea."
10561203,Support,"En comparación sólo con pacientes con SD(6m), los respondedores no mostraron diferencias significativas en la CV basal y en el tiempo hasta el fracaso del tratamiento (328.5 v 340 días).","Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea."
10561203,Support,"Durante el tratamiento, los respondedores notificaron un bienestar físico significativamente mejor (meses 3 a 11), estado de ánimo (meses 5 a 11), afrontamiento (meses 5 a 9) y apetito (meses 7 a 11) y menos mareo (mes 9) que los pacientes con SD(6m).","Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea."
10561203,Partial-Attack,"Los cambios entre los valores basales y los meses 5 y 7, respectivamente, indicaron una mejoría de los respondedores pero patrones heterogéneos en pacientes con SD(6m).","Los pacientes con RC/PR notificaron una mejor CV, lo que sugiere una respuesta más beneficiosa al tratamiento endocrino de segunda línea."
10653877,Support,Las puntuaciones de CV no fueron significativamente diferentes entre los regímenes.,paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.
10653877,Support,"Con las excepciones del aumento de la granulocitopenia en el régimen de dosis bajas de paclitaxel y aumento de las mialgias, neurotoxicidad y, posiblemente, aumento de los eventos cardíacos relacionados con el tratamiento con dosis altas de paclitaxel, la toxicidad fue similar en los tres brazos.",paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.
10653877,Support,"Se observó una supervivencia superior con los regímenes combinados de paclitaxel (mediana del tiempo de supervivencia, 9,9 meses; tasa de supervivencia a 1 año, 38,9%) en comparación con etopósido más cisplatino (mediana del tiempo de supervivencia, 7,6 meses; tasa de supervivencia a 1 año, 31,8%; p = 048).",paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.
10653877,Support,"La mediana de la duración de supervivencia para el subgrupo en estadio IIIB fue de 7,9 meses para los pacientes con etopósido más cisplatino frente a 13,1 meses para todos los pacientes con paclitaxel (P = 152).",paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.
10653877,Support,"Para el subgrupo en estadio IV, la mediana del tiempo de supervivencia de etopósido más cisplatino fue de 7,6 meses en comparación con 8,9 meses para paclitaxel (P = 2,46).",paclitaxel (135 mg/m(2)) en combinación con cisplatino ha reemplazado a etopósido más cisplatino como régimen de referencia en nuestro ensayo de fase III recientemente completado.
10675381,Support,"Los cambios medios de peso por periodo de 4 semanas fueron -1,0 kg (intervalo de confianza del 95% [IC] = -1,5 a -0,5) en el grupo control y 0,2 kg (IC del 95% = -0,2 a +0,6) en el grupo ATP (P = 0,002).","ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado."
10675381,Support,"La fuerza muscular del flexor del codo disminuyó un -5,5% (IC del 95% = -9,6% a -1,4%) por 4 semanas en el grupo control, pero se mantuvo estable (0,0%; IC del 95% = -1,4% a +1,4%) en el grupo ATP (P = 0,01).","ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado."
10675381,Support,"Se observó un patrón similar para los músculos extensores de rodilla (P = 0,02).","ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado."
10675381,Support,"Los efectos de ATP sobre el peso corporal, la fuerza muscular y la concentración de albúmina fueron especialmente marcados en pacientes caquéticos (P = 0,0002, P = 0,0001 y P = 0,0001, respectivamente, para ATP frente a ningún ATP).","ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado."
10675381,Support,"Los cambios en la puntuación de CV por periodo de 4 semanas en el grupo de ATP mostraron un deterioro global menor que en las puntuaciones de control grupo físico (-0,2% versus -2,4%; P = 0,0002); puntuaciones funcionales (+0,4% versus -5,5%; P =,02); puntuaciones psicológicas (-0,7% versus -2,4%; P = 11,1); puntuación global de CV (+0,1% versus -3,5%; P =,0001).","ATP tiene efectos beneficiosos sobre el peso, la fuerza muscular y la CV en pacientes con CPNM avanzado."
10735887,Support,"Las tasas de respuesta objetiva global (OR) fueron más altas en los pacientes tratados con EXE que en los tratados con MA (15,0% v 12,4%);","EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno."
10735887,Support,"La mediana del tiempo de supervivencia fue significativamente más largo con EXE (mediana no alcanzada) que con MA (123,4 semanas; P = 0,039), al igual que la mediana de la duración del éxito global (OR o enfermedad estable > o = 24 semanas; 60,1 v 49,1 semanas; P = 025), el tiempo hasta la progresión del tumor (20,3 v 16,6 semanas; P = 037), y el tiempo hasta el fracaso del tratamiento (16,3 v 15,7 semanas; P = 0,042).","EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno."
10735887,Support,"En comparación con MA, hubo mejoras similares o mayores en el dolor, TRSS y CV con EXE.","EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno."
10735887,Support,Ambas drogas fueron bien toleradas.,"EXE prolonga el tiempo de supervivencia, el tiempo hasta la progresión del tumor y el tiempo hasta el fracaso del tratamiento en comparación con MA y ofrece una opción de tratamiento bien tolerada para mujeres postmenopáusicas con cáncer de mama avanzado y progresivo que experimentaron fracaso del tamoxifeno."
10856098,Support,"Las tasas de respuesta, CV y mediana de RD, TTP y TTF no fueron significativamente diferentes entre los brazos.",La supervivencia con DOX y VNB no es superior a DOX solo en MBC.
10856098,Support,"La mediana de SG fue de 13,8 meses para el brazo 1 frente a 14,4 meses para el brazo 2 (P = 0,4).",La supervivencia con DOX y VNB no es superior a DOX solo en MBC.
10880548,Support,"Los pacientes que recibieron la intervención demostraron una mejoría estadísticamente significativa (P = 0,0004) en los síntomas menopáusicos, pero no un cambio significativo en la vitalidad (P = 0,77).","Un programa de evaluación clínica e intervención para el manejo de síntomas menopáusicos en sobrevivientes de cáncer de mama es factible y aceptable para los pacientes, lo que conduce a la reducción de los síntomas y la mejora en el funcionamiento sexual."
10880548,Support,"El funcionamiento sexual mejoró estadísticamente significativamente (P = 0,04) en el grupo de tratamiento en comparación con el grupo de cuidados habituales.","Un programa de evaluación clínica e intervención para el manejo de síntomas menopáusicos en sobrevivientes de cáncer de mama es factible y aceptable para los pacientes, lo que conduce a la reducción de los síntomas y la mejora en el funcionamiento sexual."
10880548,Partial-Attack,No se demostró una mejora mensurable en una medida de CV general.,"Un programa de evaluación clínica e intervención para el manejo de síntomas menopáusicos en sobrevivientes de cáncer de mama es factible y aceptable para los pacientes, lo que conduce a la reducción de los síntomas y la mejora en el funcionamiento sexual."
10880550,Support,"La supervivencia fue estadísticamente significativamente mejor en el brazo de paclitaxel más cuidado de apoyo que en el brazo de cuidado de apoyo solo (p de dos lados = 0,037) (mediana de supervivencia = 6,8 meses frente a 4,8 meses).",La adición de paclitaxel a la mejor atención de apoyo mejoró significativamente la supervivencia y el tiempo hasta la progresión de la enfermedad en comparación con la mejor atención de apoyo en pacientes con CPNM avanzado y puede mejorar algunos aspectos de la CV.
10880550,Support,"El análisis multivariado de Cox mostró que paclitaxel más los cuidados de apoyo se asociaron estadísticamente significativamente con una mejor supervivencia (dos caras P = 0,048).",La adición de paclitaxel a la mejor atención de apoyo mejoró significativamente la supervivencia y el tiempo hasta la progresión de la enfermedad en comparación con la mejor atención de apoyo en pacientes con CPNM avanzado y puede mejorar algunos aspectos de la CV.
10880550,Partial-Attack,"excepto la puntuación de actividad funcional de la Lista de verificación de Rotterdam, en la que los datos de CV favorecieron estadísticamente significativamente al grupo de paclitaxel más de soporte (dos caras P = 0,043).","QOL fue similar en ambos brazos de tratamiento,"
10880550,Support,"QOL fue similar en ambos brazos de tratamiento,",La adición de paclitaxel a la mejor atención de apoyo mejoró significativamente la supervivencia y el tiempo hasta la progresión de la enfermedad en comparación con la mejor atención de apoyo en pacientes con CPNM avanzado y puede mejorar algunos aspectos de la CV.
10930797,Support,"Para la respuesta, la edad, la disnea, la fatiga y la CV global fueron factores predictivos significativos en el análisis univariado.",Las variables QL evaluadas por el paciente parecen ser pronósticas para la supervivencia y la respuesta a la quimioterapia en mujeres con cáncer de mama avanzado.
10930797,Support,"Para la supervivencia, múltiples sitios de enfermedad visceral, dolor, QL global y fatiga fueron factores pronósticos significativos en el análisis univariado.",Las variables QL evaluadas por el paciente parecen ser pronósticas para la supervivencia y la respuesta a la quimioterapia en mujeres con cáncer de mama avanzado.
10930797,Partial-Attack,"Sin embargo, la identificación de los factores pronósticos a partir de las respuestas a los cuestionarios puede ser inestable, y su fiabilidad y utilidad clínica deben probarse prospectivamente.",Las variables QL evaluadas por el paciente parecen ser pronósticas para la supervivencia y la respuesta a la quimioterapia en mujeres con cáncer de mama avanzado.
10930797,Partial-Attack,pero la inestabilidad del modelo fue indicada por la inclusión de la fatiga y la función emocional en el modelo final cuando se utilizó la selección retrógrada.,"El último modelo multivariado para respuesta seleccionado DFI (P=0,009), múltiples sitios de enfermedad visceral (P=0,037) y disnea (P=<0,001) utilizando la selección hacia adelante,"
